marca,modelo,version,url_modelo
GAC,Emkoo,HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/GAC%20Emkoo.pdf
GAC,Aion ES,55.2 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/GAC%20Aion%20ES.pdf
GAC,Aion Y,63.2 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/GAC%20Aion%20Y.pdf
DFSK,600,ELITE PRO PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/DFSK%20600.pdf
DFSK,600,ELITE PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/DFSK%20600.pdf
DFSK,SERES #3,53 kWh,https://storage.cloud.google.com/autovolt-images/fichas_tecnicas/DFSK%20Seres%20%233.pdf
JMC,Vigus,60 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/JMC%20Vigus.pdf
Omoda,E5,60 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Omoda%20E5.pdf
KGM,Torres EVX,Limited Plus 73.4 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/KGM%20Torres%20EVX.pdf
KGM,Torres EVX,Limited 73.4 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/KGM%20Torres%20EVX.pdf
BYD,TANG,GS 111 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/BYD%20TANG%20GS%20111%20kWh.pdf
BYD,YUAN PLUS,GS 62 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/BYD%20YUAN%20PLUS.pdf
BYD,YUAN PLUS,GS 50 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/BYD%20YUAN%20PLUS.pdf
BYD,DOLPHIN MINI,GS 38 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/BYD%20DOLPHIN%20MINI%20GS%2038%20kWh.pdf
BYD,HAN,GS 88 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/BYD%20HAN%20GS%2088%20kWh.pdf
BYD,SEAL,GS 82.5 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/BYD%20SEAL%20GS%2082.5%20kWh.pdf
BYD,SONG PLUS DM-i,GL PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/BYD%20SONG%20PLUS%20DM-i.pdf
BYD,SONG PLUS DM-i,GX PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/BYD%20SONG%20PLUS%20DM-i.pdf
